When-Taking-Survey,Information,Atmosphere,Skills,Material,Recommend,Worth,Pace,Balance,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Communicators,Instructors-Enthusiastic,Helpers-Clear-Answers,Helpers-Considerate,Helpers-Communicators,Helpers-Enthusiastic,Enough-Helpers,New-Information,Unix-Shell-Pre,Unix-Shell-Perception,Git-Pre,Git-Perception,Python-Pre,Python-Perception,R-Pre,R-Perception,SQL-Pre,SQL-Perception,Unix-Shell-Knowledge-Increase,Unix-Shell-Intimidating,Git-Knowledge-Increase,Git-Intimidating,Python-Knowledge-Increase,Python-Intimidating,R-Knowledge-Increase,R-Intimidating,SQL-Knowledge-Increase,SQL-Intimidating,After-Unix-Shell-Motivation,After-Git-Motivation,After-Python-Motivation,After-R-Motivation,After-SQL-Motivation,Pipes-Before-Workshop,Pipes-After-Workshop,Loops-Before-Workshop,Loops-After-Workshop,"Git-Repo-Before-Workshop
",Git-Repo-After-Workshop,Function-Before-Workshop,Function-After-Workshop,Import-Library-Before-Workshop,Import-Library-After-Workshop,Unit-Test-Before-Workshop,Unit-Test-After-Workshop,SQL-Query-Before-Workshop,SQL-Query-After-Workshop,Status,Status-Other,Research-Domain-1,Research-Domain-2,Research-Domain-3,Research-Domain-4,Research-Domain-5,Research-Domain-6,Research-Domain-7,Research-Domain-8,Research-Domain-9,Research-Domain-10,Research-Domain-11,Research-Domain-12,Research-Domain-13,Research-Domain-14,Research-Domain-15,Research-Domain-16,Research-Domain-Other,Workshop-in-US,Likely-to-Recommend
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased slightly,Maybe,Confidence increased slightly,No,Confidence increased slightly,Maybe,Confidence increased slightly,Yes,Confidence increased slightly,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Graduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,,Little or no knowledge of topic,,Some knowledge of topic,,Some knowledge of topic,,Little or no knowledge of topic,,Knowledge increased a great deal,,Knowledge increased a great deal,,Knowledge increased a great deal,,N/A - Not covered at this workshop,,N/A - Not covered at this workshop,,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased a bit,Yes,No change in confidence,No,No change in confidence,No,N/A - Not covered at workshop,Graduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,Psychology,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Some of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Some knowledge of topic,Not at all intimidating,,,,,No increase in my knowledge,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a little,No change - (Not less or more intimidating),,,,,No change in motivation,More motivated,More motivated,,,No,Confidence increased slightly,No,No change in confidence,No,Confidence increased greatly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased a bit,,,Post-doctoral researcher,,,,,,,,,,,,,Physics,,,,,,No,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,,,,,Knowledge increased a little,Became slightly less intimidating,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased slightly,Became slightly less intimidating,,,,,Much more motivated,More motivated,Much more motivated,,,No,Confidence increased a bit,Yes,Confidence increased greatly,No,Confidence increased a bit,Yes,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased a bit,Yes,No change in confidence,Research staff (including research programmer),,,"Civil, mechanical, chemical, or nuclear engineering",,,,,,,,,,,"Planetary sciences (geology, climatology, oceanography, etc.)",,,,,No,7
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,Sometimes,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Very intimidating to me,,,,,Knowledge increased a little,,Knowledge increased a little,,Knowledge increased a little,,,,,,More motivated,More motivated,Much more motivated,,,,,No,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased greatly,Yes,Confidence increased greatly,,,,,Post-doctoral researcher,,,,,,,,,,,,,,,Psychology,,,,No,8
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Slightly intimidating to me,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,No increase in my knowledge,N/A - Not covered at this workshop,Knowledge increased a little,Became much less intimating,More motivated,No change in motivation,Much more motivated,No change in motivation,More motivated,Maybe,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Maybe,Confidence increased greatly,Graduate Student,,,,,,,,,,,,,,,Psychology,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Some knowledge of topic,Slightly intimidating to me,,N/A or No opinion,,N/A or No opinion,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a little,Became much less intimating,,,,,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased slightly,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,Yes,Confidence increased greatly,No,Confidence increased a bit,,N/A - Not covered at workshop,Graduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,Psychology,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Not at all intimidating,,N/A or No opinion,,N/A or No opinion,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,No change in confidence,Yes,Confidence increased a bit,No,Confidence increased slightly,Yes,Confidence increased a bit,Yes,Confidence increased greatly,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,Humanities,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly fast,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Extensive knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Some knowledge of topic,Not at all intimidating,Extensive knowledge of topic,Not at all intimidating,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,No change - (Not less or more intimidating),N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Yes,No change in confidence,Yes,No change in confidence,Yes,Confidence increased greatly,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Yes,N/A - Not covered at workshop,Other (please specify),PhD student,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,8
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Very intimidating to me,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,No,Confidence increased greatly,Yes,No change in confidence,Yes,No change in confidence,Yes,Confidence increased a bit,Yes,No change in confidence,Yes,Confidence increased a bit,,N/A - Not covered at workshop,Graduate Student,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Extensive knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Extensive knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,No increase in my knowledge,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,No change in motivation,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Yes,No change in confidence,Yes,No change in confidence,Yes,Confidence increased a bit,Yes,No change in confidence,Yes,Confidence increased greatly,Yes,Confidence increased greatly,No,N/A - Not covered at workshop,Research staff (including research programmer),,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,,,,,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,,N/A - Not covered at this workshop,,More motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased greatly,Maybe,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,,,Research staff (including research programmer),,,,,,,,,,,,,,,,,,Materials science & engineering,No,10
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Not very intimidating,,,,,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,,,,,More motivated,No change in motivation,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Maybe,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased greatly,Yes,Confidence increased a bit,No,Confidence increased greatly,,,,,Faculty,,,,,,,,,,,,,,,Psychology,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Often,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,,,Little or no knowledge of topic,Slightly intimidating to me,No increase in my knowledge,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Knowledge increased a little,Became slightly less intimidating,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,Much more motivated,Yes,No change in confidence,Yes,No change in confidence,No,Confidence increased greatly,Maybe,Confidence increased slightly,No,Confidence increased a bit,No,N/A - Not covered at workshop,No,Confidence increased a bit,Post-doctoral researcher,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Some of it,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Extensive knowledge of topic,Not at all intimidating,Little or no knowledge of topic,N/A or No opinion,Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased a little,No change - (Not less or more intimidating),N/A - Not covered at this workshop,,N/A - Not covered at this workshop,,More motivated,No change in motivation,No change in motivation,N/A - Topic not covered,N/A - Topic not covered,No,No change in confidence,Yes,Confidence increased slightly,Maybe,No change in confidence,Yes,Confidence increased slightly,,,,,,,Post-doctoral researcher,,,,,,,,,,,,,,,Psychology,,,,No,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Too slow,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Some of it,Extensive knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Some knowledge of topic,Not at all intimidating,,,,,No increase in my knowledge,No change - (Not less or more intimidating),Knowledge increased a little,Became slightly less intimidating,No increase in my knowledge,Became slightly less intimidating,,,,,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Yes,No change in confidence,Yes,No change in confidence,No,Confidence increased a bit,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,,,Research staff (including research programmer),,,,,,,,,,,,,Physics,,,,,,No,5
"I have recently completed the workshop, and am taking it after I left the event",Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Too slow,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Some of it,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,,,,,No increase in my knowledge,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased slightly,No change - (Not less or more intimidating),,,,,More motivated,More motivated,No change in motivation,N/A - Topic not covered,N/A - Topic not covered,Maybe,Confidence increased greatly,Yes,No change in confidence,No,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,No,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,,,,,,Physics,,,,,,No,8
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),Often,Often,Sometimes,Often,Often,All of the time,,Often,Yes,Most of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Neither intimidating nor unintimidating,,,,,Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,,,,,No change in motivation,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Maybe,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,N/A - Not covered at workshop,Maybe,N/A - Not covered at workshop,Research staff (including research programmer),,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,"Planetary sciences (geology, climatology, oceanography, etc.)",,,,,No,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Extensive knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,,,,,No increase in my knowledge,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),,,,,No change in motivation,No change in motivation,More motivated,N/A - Topic not covered,N/A - Topic not covered,Yes,No change in confidence,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,N/A - Not covered at workshop,Research staff (including research programmer),,,,,,,,,,,,,Physics,,,,,,No,9
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Neither intimidating nor unintimidating,,,,,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,No increase in my knowledge,Became much less intimating,,,,,More motivated,Much more motivated,Much more motivated,,,Yes,Confidence increased greatly,Yes,No change in confidence,No,Confidence increased a bit,Yes,No change in confidence,No,No change in confidence,,,,,Graduate Student,,,,,,,,,,,,,Physics,,,,,,No,8
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Slightly intimidating to me,,,,,Knowledge increased a little,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,More motivated,,,Maybe,Confidence increased a bit,Yes,No change in confidence,Yes,Confidence increased a bit,Yes,No change in confidence,Yes,Confidence increased a bit,,,,,Graduate Student,,,,,,,,,,,Mathematics/statistics,,,,,,,,No,8
"I have recently completed the workshop, and am taking it after I left the event",Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Slightly intimidating to me,,,,,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,,,,,More motivated,No change in motivation,Much more motivated,,,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased slightly,No,Confidence increased greatly,No,Confidence increased greatly,,,,,Post-doctoral researcher,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,Psychology,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,N/A or No opinion,,,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),,,,,Much more motivated,Much more motivated,Much more motivated,,,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,No,,No,,Graduate Student,,,,,,High performance computing,,,,,,,,,,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Extensive knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,,,,,No increase in my knowledge,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),,,,,No change in motivation,Much more motivated,More motivated,,,Yes,No change in confidence,Yes,No change in confidence,Maybe,Confidence increased greatly,Yes,No change in confidence,No,Confidence increased greatly,No,Confidence increased slightly,,,Post-doctoral researcher,,,,,,,,,,,,,Physics,,,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,,N/A or No opinion,,N/A or No opinion,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Yes,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased slightly,No,N/A - Not covered at workshop,Graduate Student,,Chemistry,,,,,,,,,,,,,,,,,No,9
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,Often,All of the time,Often,All of the time,Yes,Most of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,Very intimidating to me,,,,,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became slightly less intimidating,,,,,Much more motivated,Much more motivated,Much more motivated,,,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,Yes,No change in confidence,,,,,Graduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,Sometimes,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased slightly,No change - (Not less or more intimidating),No increase in my knowledge,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,No change in motivation,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Yes,Confidence increased slightly,Yes,Confidence increased slightly,No,Confidence increased a bit,Yes,Confidence increased slightly,No,Confidence increased greatly,Yes,Confidence increased slightly,No,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,Physics,,,,,Biophysics,No,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Agree,Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Some of it,Some knowledge of topic,,Little or no knowledge of topic,,Little or no knowledge of topic,,,,,,Knowledge increased a great deal,,Knowledge increased a great deal,,Knowledge increased a little,,,,,,Much more motivated,More motivated,More motivated,,,Yes,Confidence increased a bit,Yes,Confidence increased slightly,Maybe,Confidence increased slightly,Yes,Confidence increased a bit,Maybe,Confidence increased slightly,Maybe,Confidence increased slightly,,,Post-doctoral researcher,,,,,,,,,,,,,Physics,,,,,,No,10
