When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,"Economics, Mathematics",Economics,,Windows,No,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Satisfied,Agree,Strongly agree,Agree,Neutral,Better management of large data sets,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Clinical Epidemiology,Medicine,,Windows,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,MATLAB","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Undergraduate student,,Hematology-Oncology ,Medicine,,Apple OS,No,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biomedical engineering,"Engineering (civil, mechanical, chemical)",,Apple OS,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Agree,Agree,Agree,Agree,I most hope to learn about options for analyzing my data that I may not currently be aware of,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Moleculat Ecolog and Evolution,"Life science (biology, genetics)",,Windows,Yes,,,,,,,,,,,,
I am taking this survey before coming to the workshop,No,Post-doc,,Biochemistry,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Satisfied,Neutral,Strongly agree,Agree,Strongly agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biomedical Engineering,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Satisfied,Agree,Strongly agree,Neutral,Neutral,How to use R to manage larger data sets,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Nutrition and Metabolism,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics and Genomics,Brain and neurosciencse,,Apple OS,Yes,Daily,,"R,Python","Yes, and I've already done a fair bit of analysis.",Very unsatisfied,Unsatisfied,Disagree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbiology & Immunology Training Program,"Life science (biology, genetics)",,Windows,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Disagree,"Strategies for designing databases at the beginning of studies that will be efficient, but also modular to adapt if the study changes midstream. Improvements to my ability to code in R (especially to organize and format data, and to use the ""apply"" command and matrices).",Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biochemistry,"Life science (biology, genetics)",,Apple OS,No,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Unsatisfied,Agree,Agree,Agree,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),high school senior doing a research internship at BU,biomedical genetics,Other (please specify),bioinformatics and genetics,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Agree,Agree,Agree,how to use R,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbiology,"Life science (biology, genetics)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,I hope to be more comfortable with R. ,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Medicine,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Chemistry,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"exposure to data analysis using medium to data sets. What is considered small, medium, large data sets?",Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Biochemistry,"Life science (biology, genetics)",,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Neutral,Agree,Neutral,Neutral,How to analyze data sets,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Physiology and Biophysics,Brain and neurosciencse,,Apple OS,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Agree,Agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Cell and Molecular Biology,"Life science (biology, genetics)",,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Very unsatisfied,Very unsatisfied,Strongly agree,Agree,Neutral,Neutral,"I'd like to learn what SQL, R, and Python offer: under what circumstances would I use SQL vs. R vs. Python?  What are the advantages and disadvantages of each?  What types of data can they handle and why is it better than using Excel?",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Agree,Neutral,Neutral,"A better way to bring data into R, one of the hardest parts of R for me is putting my data in a format that it expects and does the right thing with",Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biochemistry,Chemistry,,Windows,No,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Learn basic R fundamentals and start to use it as much as possible.,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Cardiology,Medicine,,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Very unsatisfied,Very unsatisfied,Strongly agree,Neutral,Neutral,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Biology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,,,"Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Agree,Learn how to use R and how to analyze RADSeq data,No
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,genetics,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,,Neutral,to be a better researcher,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Marine Science Institute,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,Learn how to manage my data and how to analyze them.,No
I am taking this survey before coming to the workshop,Yes,Staff,,Department of Biological Sciences and Environmental Studies,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,,Satisfied,Satisfied,Agree,Agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Industry,,SEO - Data Analytics,Computer science and electrical engineering,,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Learn data carpentry.,No
I am taking this survey before coming to the workshop,Yes,Faculty,,Physiology,Medicine,,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",,,Neutral,Agree,Agree,Neutral,I would like in increase my knowledge about ability to operate and analyze large datasets,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,Staff,,Applied Sciences,"Life science (ecology, zoology, botany)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Agree,Agree,Neutral,Agree,"Analyses, specifically creating rasters from points or pulling raster data from overlying points using R",Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Bioinformatics,Statistics,,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Not sure,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Practical examples of using R,Yes
I am taking this survey before coming to the workshop,No,Staff,,ESA,"Life science (ecology, zoology, botany)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, and I've already done a fair bit of analysis.",Neutral,Satisfied,Neutral,Agree,Agree,Agree,efficient programming in R,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,Staff,,Applied Science,"Life science (ecology, zoology, botany)",,Windows,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,all the things,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Applied Sciences,"Life science (ecology, zoology, botany)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Geospatial techniques,Yes
I am taking this survey before coming to the workshop,No,Staff,,ESA,"Life science (ecology, zoology, botany)",,Windows,Yes,Monthly,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,learn more about R,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,No,Staff,,Environmental Restoration Science,"Life science (ecology, zoology, botany)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Agree,Agree,Agree,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,"Engineering (civil, mechanical, chemical)",,,,,,,,,,,,,,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Industry,,Startup,"Tech support, lab tech, or support programmer",,Windows,Not sure,Daily,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly disagree,Agree,Strongly disagree,Strongly disagree,"Data Analysis. Tips and Tricks on R, Etc.",Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,,Humanities,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,,"Life science (biology, genetics)",,Apple OS,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,R","Yes, and I've already done a fair bit of analysis.",Neutral,Unsatisfied,Agree,Neutral,Neutral,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Forensics,"Life science (biology, genetics)",,Windows,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,Consolidate knowledge on the basics of R (which I keep forgetting since I do not use it that frequently),No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbial Ecology,"Life science (ecology, zoology, botany)",,Linux,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Agree,Strongly agree,Disagree,,No
I am taking this survey before coming to the workshop,Yes,Faculty,,"Ecology, Taxonomy, and Systematics","Life science (ecology, zoology, botany)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, I have data but I haven't started analyzing it yet.",Satisfied,Satisfied,Agree,Agree,Agree,Neutral,Explore and learn new data management and analysis techniques.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Virology,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Unsatisfied,Strongly agree,Strongly agree,Agree,Strongly agree,,No
I am taking this survey before coming to the workshop,No,Graduate Student,,Virology,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,better understanding of R,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Marine Biology,"Life science (biology, genetics)",,Windows,Yes,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Satisfied,Neutral,Strongly agree,Neutral,Neutral,Neutral,I wish to learn how to use the softwares introduced in the workshop and how can these new information help further molecular DNA studies in our institution.,No
I am taking this survey before coming to the workshop,Yes,Faculty,,Biological Sciences (Marine Science),"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Efficient participation,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Institute of molecular life sciences,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Disagree,introduction to R statistics analysis,No
I am taking this survey before coming to the workshop,Yes,Faculty,,,"Life science (biology, genetics)",,Apple OS,Yes,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,overview of data mining/carpentry,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Institute of Molecular Life Sciences,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Not applicable,Not applicable,Agree,Neutral,Neutral,Neutral,How to make graphs with R,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Life Sciences,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Not applicable,Not applicable,Agree,Agree,Agree,Neutral,basic understanding of R,No
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,Systems Biology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,,,I do not have data yet.,Not applicable,Not applicable,,,,,I hope to get general insight to the programming environment and be able to visualize and analyze datasets in a basic maner,No
I am taking this survey before coming to the workshop,Yes,Staff,,Molecular Biology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Staff,,DMMD,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Agree,Agree,Neutral,Neutral,How to work with R or similars,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Life Sciences,"Life science (biology, genetics)",,Windows,Yes,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Agree,Agree,Disagree,ready to use applications for different types of datasets,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,IMLS,"Life science (biology, genetics)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,MATLAB","Yes, and I've already done a fair bit of analysis.",Very satisfied,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Agree,I hope to get the basis to become more independent from computational people in the lab who have been providing a lot of support so far establishing our analytical workflow,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,Department of Molecular Mechanisms of Disease,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Satisfied,Satisfied,Agree,Strongly agree,Agree,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Department of Molecular Mechanisms of Disease,"Life science (biology, genetics)",,Apple OS,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Disagree,,No
I am taking this survey before coming to the workshop,Yes,Faculty,,Aquaculture,Other (please specify),Fisheries,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Agree,Neutral,Neutral,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Faculty,,Marine Science,"Life science (biology, genetics)",,Apple OS,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Neutral,Agree,Agree,Agree,Agree,More efficient data handling and analysis tools,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Marine biology ,"Life science (biology, genetics)",,Windows,Yes,Not sure,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Not applicable,Not applicable,Strongly agree,Strongly agree,Agree,Neutral,"Since I will be working on metagenome dataset for my thesis, I am hoping that before I start I could able to learn to used pipelines in analyzing my data and shotgunfunctionalize R. I do not have enough experience yet in analyzing metagenome and NGS data. I think this workshop will be a good opportunity to expose me in anayzing datasets. ",No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biotechnology,"Life science (biology, genetics)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I am working on generating data.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I`m also interested in Data visualization,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Plant Biotechnology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Agree,Agree,Neutral,Analyzing and visualization of data.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Department of Clinical Research,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Very unsatisfied,Strongly agree,Neutral,Neutral,Neutral,Understanding types of data and how to compare them with each other.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,"Life science (biology, genetics)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly disagree,plotting with R,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Department of molecular mechanisms of disease ,"Life science (biology, genetics)",,Apple OS,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Agree,Strongly agree,Neutral,I hope to get again familiar with the basics of data management and organisation as well as basic R commands to analyse data.,No
I am taking this survey before coming to the workshop,Yes,Staff,,Library in Life Sciences,Administration,,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Agree,Agree,Agree,Neutral,Get familiar with data analysis techniques and methodologies I am not used to + Discover how a scripting language could help me with data analysis,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Biology,"Life science (biology, genetics)",,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Neutral,Neutral,Neutral,"How to understand the data I generated and to know if I can trust the ""differences"" I find in the proteomics data of the different mutants.",No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Medicine: Neuropediatrics,Chemistry,,Apple OS,Not sure,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Agree,Agree,"more experience with R, data mining and visualization",No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Life Sciences,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Unsatisfied,Strongly agree,Agree,Neutral,Neutral,Insight in the possibility for imaging analysis (of light sheet/3D data) and general tools for data representation,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Marine Biology,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Industry,,"Breeding and seed production, resource enhancement, genetics","Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,I hope to learn better management of data for a more effective analysis,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Department of Molecular Mechanisms of Disease,"Life science (biology, genetics)",,Apple OS,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,SQL,R,Python,MATLAB,",I am working on generating data.,Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,My aim is to refresh my knowledge in R and to pic important missing bits and tricks in using R for big data set analysis.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Department of Molecular Mechanisms of Disease,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Satisfied,Satisfied,Strongly agree,Agree,Agree,Strongly agree,to learn basics of programming,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Ecology and Evolution,"Life science (biology, genetics)",,Apple OS,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Satisfied,Unsatisfied,Strongly agree,Strongly agree,Neutral,Disagree,Best way of analysis of RAD data,No
I am taking this survey before coming to the workshop,Yes,Other (please specify),"Graduate Student, Faculty, Researcher",Marine Biological Sciences,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Agree,Agree,Agree,"Learn how to confidently use programming language like R, Python and SQL",No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Other (please specify),Librarian,,Other (please specify),Librarian,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Agree,Neutral,Neutral,Neutral,"Increase familiarity with R, Python etc",No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Virology,"Life science (biology, genetics)",,Apple OS,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Faculty,,Biological Sciences,"Life science (biology, genetics)",,Windows,Yes,Monthly,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,,No
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Other (please specify),Librarian,Library,Other (please specify),Provision of library support including researcher support,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Neutral,Neutral,Learn about managing data so that I can provide some assistance to the researchers at my institution.,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Staff,,Library - Liaison ,Other (please specify),Library and Info Science,Windows,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Neutral,Neutral,Agree,1) Confidence in discussing data requirements and issues with a wide variety of disciplines - from humanities to health to IT.   2) Practical knowledge of code and data issues for researchers. ,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Staff,,Library,Other (please specify),Clinical Sciences research support,Windows,Yes,I have never programmed,,,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Neutral,Neutral,How I can support researchers in a more detailed targeted way through knowledge of these tools.,No
I am taking this survey before coming to the workshop,Yes,Staff,,"Information Access & Advisory Services, Library",Other (please specify),Library and Info Science,Apple OS,Yes,Daily,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Very unsatisfied,Very unsatisfied,Strongly agree,Neutral,Neutral,Neutral,"Ways to mine, refine, describe, organise, analyse and  visualise data. ",No
I am taking this survey before coming to the workshop,Yes,Staff,,Library,Other (please specify),Librarian,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Neutral,Neutral,an understanding of what all these programs can do,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Library,Administration,,Apple OS,Yes,,,,,,,,,,,,
